EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01272	AHQ52	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	147.02	92.8	22918214	25930	0.02061266733679301	3380864943	4006385	0.035672354649715965	18.2284595649841	0.887699204109889
EHI02760	AGN62	Trichosurus vulpecula	Mersey Forests, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.69	146.21	69.15	24094770	798885	0.03482351542462481	3354660309	117175084	0.07284613226850856	18.4128704588725	0.853674494344369
EHI01342	AED21	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	77.54	33042702	771431	0.029061994258769985	4777058090	114741396	0.041717989159842594	19.52621130343	0.812226147056956
EHI02846	AGM48	Trichosurus vulpecula	Northern Midlands, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.77	147.32	69.09	17822200	70891	0.09728277160558174	2516335513	9803089	0.14698565559149435	17.3104874705865	0.888632809434044
EHI01253	AHQ50	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-42.32	146.91	85.23	26760334	48572	0.023515040709354174	3952754105	7306842	0.036648806994269645	18.0312698610498	0.867479117626757
EHI02796	AGN13	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.21	146.24	54.21	39080486	30501	0.06697320560861497	5199449709	4050961	0.1717937267986681	19.3336576709498	0.796047325446389
EHI01254	AHQ53	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	147.02	82.19	28627392	58205	0.028448783115419762	4234068488	8641986	0.04007776330593804	17.4553679827381	0.937331841058544
EHI02826	AGN01	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	148.28	71.93	35493408	315782	0.042078640356199126	5072109619	43681080	0.07954266098478713	18.968774577398	0.846768973637942
EHI02824	AGM57	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	148.28	69.15	27178506	80360	0.1575140947456306	3900449012	11070271	0.1916651920802963	18.7586256252223	0.842348151223823
EHI02823	AGN80	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.1	147.96	76.56	38675046	2232835	0.035191771716092335	5225179066	319368041	0.07788523019186822	17.8296435432526	0.890194774699393
EHI02840	AGN78	Trichosurus vulpecula	Inglis River, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.09	145.6	67.01	36833190	1186977	0.03174436269297387	5130173743	170732154	0.07101321433118557	18.7855472918801	0.857950683782389
EHI01258	AHQ49	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.32	146.91	81.19	27277152	143391	0.030136947725678986	4016566103	21893733	0.04272680104085802	18.269745256012	0.884685154900714
EHI02773	AGN04	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	64.47	39080916	34983	0.03379678849293777	5590801410	4630464	0.07775545376541682	19.3959971263633	0.80970895808098
EHI02817	AGN76	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.26	147.7	77.05	26018822	165439	0.04120082467832342	3706908249	23035237	0.0836718796945638	19.4242468890669	0.723253407417307
EHI02772	AGM84	Trichosurus vulpecula	Friendly Beaches, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.02	148.28	71.82	35339862	929954	0.03510800798499025	4967016317	133333189	0.07162693602347947	18.8074378511085	0.851512444676855
EHI02806	AGN66	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.26	147.7	73.37	40871000	619939	0.03604299647771603	5827831715	89581175	0.0695714813195113	19.9368098691561	0.719671558144185
EHI02831	AGN09	Trichosurus vulpecula	Mountain River, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-42.92	147.14	75.72	34937064	1728759	0.051870566362534176	4791537955	249927066	0.08789103837998047	19.0812289544508	0.792796659352183
EHI01266	AEC57	Trichosurus vulpecula v. hypoleucus	Dryandra	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-32.79	116.96	96.7	27199700	27165	0.029690790436869396	4035697548	4145198	0.039230427386918065	17.8115211840727	0.901093659865426
EHI01339	AHQ48	Trichosurus vulpecula	Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-42.32	146.91	85.86	35146454	549463	0.02461162860168309	5111588919	82072269	0.03909951053042837	18.1220205002594	0.887458855139317
EHI02801	AGN26	Trichosurus vulpecula	Forth, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.21	146.24	62.24	27030326	282547	0.06010714440697129	3749684604	36344570	0.12235322363250423	19.5612111709132	0.753144678770649
EHI02812	AGN29	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	73.99	34922904	408315	0.03377216681814599	4996979764	57112125	0.06777430754127178	18.1375720466122	0.879607165072362
EHI02836	AGN15	Trichosurus vulpecula	Northern Midlands, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.7	147.24	60.68	20887064	81299	0.15005608627887013	2942310735	11061548	0.1988020920864294	18.9744681966916	0.78431847471945
EHI02082	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	85.06	42490322	657632	0.03294564663150368	6101131720	94697133	0.05991090315895353	18.93771036	0.834838898
EHI02841	AGO04	Trichosurus vulpecula	Green Beach, Tasmania	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-41.07	146.72	73.96	40198702	482648	0.048066655672507674	5726770120	66720106	0.08537402921370951	18.9702197973217	0.832532806817744
EHI02770	AGN73	Trichosurus vulpecula	Mount William, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.04	148.24	63.71	23574948	114768	0.0360947436525626	3392955349	15636651	0.07088950368166969	18.3826116588389	0.841512036700287
EHI02792	AGN94	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.25	147.71	70.49	35472050	108660	0.03021582096549491	5109895973	15462248	0.0658389136216192	19.2507208888291	0.786656206045657
EHI01340	AED03	Trichosurus vulpecula	Ikara-Flinders Ranges National Park	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-30.65	139.04	3.32	16739828	549883	0.0543734097464712	2247487899	78517930	0.12403203466323842	18.524919490059	0.686752256603581
EHI01341	AEC56	Trichosurus vulpecula v. hypoleucus	Dryandra	Faecal	Diprotodontia	Unknown	recKtBknH3LqSreF0	-32.79	116.96	84.01	31334924	158302	0.02662315603117993	4539556423	23522716	0.055027638150160985	18.3578028186749	0.88778240040597
EHI02098	AEC24	Trichosurus vulpecula v. hypoleucus	Warren	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-34.04	116.47	84.46	38557976	1022967	0.048771990469655524	5418680977	139932802	0.08579068556466474	18.60904505	0.908964547
EHI02776	AGN12	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	84.61	29842356	58963	0.031136314007565447	4330876113	8270565	0.0608333907441474	17.2016027203815	0.877099528820605
