id,radius_m,devil_density_baseline,devil_sd_baseline
EHI01272,100,0.24894416332244873,0.16811480621496835
EHI02760,100,0.21019363900025687,0.09287571907043457
EHI01342,100,NA,NA
EHI02846,100,0.15621530016263327,0.08829916268587112
EHI01253,100,0.3644577165444692,0.28600645065307617
EHI02796,100,0.2825121581554413,0.2130442957083384
EHI01254,100,0.24894416332244873,0.16811480621496835
EHI02826,100,0.14813210566838583,0.06318427373965581
EHI02824,100,0.14813210566838583,0.06318427373965581
EHI02823,100,0.11636955787738164,0.06861036519209544
EHI02840,100,0.46934468547503155,0.2906763553619385
EHI01258,100,0.3644577165444692,0.28600645065307617
EHI02773,100,0.2825121581554413,0.2130442957083384
EHI02817,100,0.36967793107032776,0.23670619229475656
EHI02772,100,0.14813210566838583,0.06318427373965581
EHI02806,100,0.36967793107032776,0.23670619229475656
EHI02831,100,0.19277235865592957,0.1608645220597585
EHI01266,100,NA,NA
EHI01339,100,0.3644577165444692,0.28600645065307617
EHI02801,100,0.2825121581554413,0.2130442957083384
EHI02812,100,0.11956177651882172,0.07049184292554855
EHI02836,100,0.10942211498816808,0.05649520829319954
EHI02082,100,NA,NA
EHI02841,100,0.14707150061925253,0.08091331273317337
EHI02770,100,0.19863557815551758,0.09907673796017964
EHI02792,100,0.38607463240623474,0.24798342088858286
EHI01341,100,NA,NA
EHI02098,100,NA,NA
EHI02776,100,0.11956177651882172,0.07049184292554855
EHI02769,100,0.19077526032924652,0.1278672938545545
EHI01389,100,NA,NA
EHI02767,100,0.36967793107032776,0.23670619229475656
EHI02819,100,0.34522736072540283,0.2542694906393687
EHI02064,100,NA,NA
EHI02811,100,0.22607514262199402,0.1284268175562223
EHI01268,100,0.24894416332244873,0.16811480621496835
EHI02804,100,0.21019363900025687,0.09287571907043457
EHI02780,100,0.46934468547503155,0.2906763553619385
EHI02789,100,0.46934468547503155,0.2906763553619385
EHI02835,100,0.34522736072540283,0.2542694906393687
EHI01343,100,NA,NA
EHI02785,100,0.14950213332970938,0.13231891642014185
EHI01271,100,NA,NA
EHI02843,100,0.14707150061925253,0.08091331273317337
EHI02779,100,0.19277235865592957,0.1608645220597585
EHI02822,100,0.22607514262199402,0.1284268175562223
EHI02797,100,0.21019363900025687,0.09287571907043457
EHI02074,100,NA,NA
EHI02830,100,0.3543277482191722,0.24187577764193216
EHI02784,100,0.19863557815551758,0.09907673796017964
EHI02766,100,0.19277235865592957,0.1608645220597585
EHI02771,100,0.21019363900025687,0.09287571907043457
EHI02768,100,0.19077526032924652,0.1278672938545545
EHI01270,100,NA,NA
EHI02832,100,0.15621530016263327,0.08829916268587112
EHI02844,100,0.14707150061925253,0.08091331273317337
EHI02829,100,0.3543277482191722,0.24187577764193216
EHI01264,100,NA,NA
EHI02837,100,0.2825121581554413,0.2130442957083384
EHI02774,100,0.22607514262199402,0.1284268175562223
EHI02845,100,0.15621530016263327,0.08829916268587112
EHI02775,100,0.22607514262199402,0.1284268175562223
EHI01259,100,0.3644577165444692,0.28600645065307617
EHI01387,100,NA,NA
EHI01248,100,0.24894416332244873,0.16811480621496835
EHI01257,100,NA,NA
EHI02839,100,0.11636955787738164,0.06861036519209544
EHI01273,100,NA,NA
EHI02838,100,0.34522736072540283,0.2542694906393687
EHI01265,100,0.24894416332244873,0.16811480621496835
EHI01345,100,NA,NA
EHI01256,100,NA,NA
EHI01272,200,0.24894416332244873,0.16811480621496835
EHI02760,200,0.21019363900025687,0.09287571907043457
EHI01342,200,NA,NA
EHI02846,200,0.15621530016263327,0.08829916268587112
EHI01253,200,0.3644577165444692,0.28600645065307617
EHI02796,200,0.28130098183949787,0.21134094397226968
EHI01254,200,0.24894416332244873,0.16811480621496835
EHI02826,200,0.14813210566838583,0.06318427373965581
EHI02824,200,0.14813210566838583,0.06318427373965581
EHI02823,200,0.11637181788682938,0.06861169636249542
EHI02840,200,0.46934468547503155,0.2906763553619385
EHI01258,200,0.3644577165444692,0.28600645065307617
EHI02773,200,0.28130098183949787,0.21134094397226968
EHI02817,200,0.36967793107032776,0.23670619229475656
EHI02772,200,0.14813210566838583,0.06318427373965581
EHI02806,200,0.36967793107032776,0.23670619229475656
EHI02831,200,0.19277235865592957,0.1608645220597585
EHI01266,200,NA,NA
EHI01339,200,0.3644577165444692,0.28600645065307617
EHI02801,200,0.28130098183949787,0.21134094397226968
EHI02812,200,0.11956177651882172,0.07049184292554855
EHI02836,200,0.10942211498816808,0.05649520829319954
EHI02082,200,NA,NA
EHI02841,200,0.14707150061925253,0.0809133102496465
EHI02770,200,0.1979630539814631,0.09863487879435222
EHI02792,200,0.38607463240623474,0.24798342088858286
EHI01341,200,NA,NA
EHI02098,200,NA,NA
EHI02776,200,0.11956177651882172,0.07049184292554855
EHI02769,200,0.18218818803628287,0.11484204481045406
EHI01389,200,NA,NA
EHI02767,200,0.36967793107032776,0.23670619229475656
EHI02819,200,0.34522736072540283,0.2542694906393687
EHI02064,200,NA,NA
EHI02811,200,0.22607514262199402,0.1284268175562223
EHI01268,200,0.24894416332244873,0.16811480621496835
EHI02804,200,0.21019363900025687,0.09287571907043457
EHI02780,200,0.46934468547503155,0.2906763553619385
EHI02789,200,0.46934468547503155,0.2906763553619385
EHI02835,200,0.34522736072540283,0.2542694906393687
EHI01343,200,NA,NA
EHI02785,200,0.15706822772820792,0.13731030623118082
EHI01271,200,NA,NA
EHI02843,200,0.14707150061925253,0.0809133102496465
EHI02779,200,0.19277235865592957,0.1608645220597585
EHI02822,200,0.22607514262199402,0.1284268175562223
EHI02797,200,0.21019363900025687,0.09287571907043457
EHI02074,200,NA,NA
EHI02830,200,0.3543277482191722,0.24187577764193216
EHI02784,200,0.1979630539814631,0.09863487879435222
EHI02766,200,0.19277235865592957,0.1608645220597585
EHI02771,200,0.21019363900025687,0.09287571907043457
EHI02768,200,0.18218818803628287,0.11484204481045406
EHI01270,200,NA,NA
EHI02832,200,0.15621530016263327,0.08829916268587112
EHI02844,200,0.14707150061925253,0.0809133102496465
EHI02829,200,0.3543277482191722,0.24187577764193216
EHI01264,200,NA,NA
EHI02837,200,0.28130098183949787,0.21134094397226968
EHI02774,200,0.22607514262199402,0.1284268175562223
EHI02845,200,0.15621530016263327,0.08829916268587112
EHI02775,200,0.22607514262199402,0.1284268175562223
EHI01259,200,0.3644577165444692,0.28600645065307617
EHI01387,200,NA,NA
EHI01248,200,0.24894416332244873,0.16811480621496835
EHI01257,200,NA,NA
EHI02839,200,0.11636955787738164,0.06861036519209544
EHI01273,200,NA,NA
EHI02838,200,0.34522736072540283,0.2542694906393687
EHI01265,200,0.24894416332244873,0.16811480621496835
EHI01345,200,NA,NA
EHI01256,200,NA,NA
EHI01272,400,0.2505923608938853,0.17035197714964548
EHI02760,400,0.21019363900025687,0.09287571907043457
EHI01342,400,NA,NA
EHI02846,400,0.15621530016263327,0.08829916268587112
EHI01253,400,0.3644577165444692,0.28600645065307617
EHI02796,400,0.28073452909787494,0.21053125957647958
EHI01254,400,0.2505923608938853,0.17035197714964548
EHI02826,400,0.14813210566838583,0.06318427373965581
EHI02824,400,0.14813210566838583,0.06318427373965581
EHI02823,400,0.11700351536273956,0.06898401180903117
EHI02840,400,0.46934468547503155,0.2906763553619385
EHI01258,400,0.3644577165444692,0.28600645065307617
EHI02773,400,0.28073452909787494,0.21053125957647958
