id	h1	pop_density_1km	annual_mean_temp	annual_precipitation	Overall_Density	devil_density_baseline
EHI01272	1.03033278642612	0.0128326183184981	8.27916622161865	796	52.62925	0.248944163322449
EHI02760	1.53215924504174	0	9.32544018822999	1567.93353300696	75.81175	0.210193639000257
EHI01342	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
EHI02846	3.96587398450338	0.104520842432976	11.8458337783813	599	52.095	0.156215300162633
EHI01253	3.62978427143395	0.0269408505409956	9.607899751644	673.371234438699	58.5585	0.364457716544469
EHI02796	1.0999912152753	6.24053001403809	12.5228820362252	988.487092917196	79.46925	0.281300981839498
EHI01254	1.03033278642612	0.0128326183184981	8.27916622161865	796	52.62925	0.248944163322449
EHI02826	1.57249686611676	0.128054693341255	12.7416667938232	713	51.05525	0.148132105668386
EHI02824	1.57249686611676	0.128054693341255	12.7416667938232	713	51.05525	0.148132105668386
EHI02823	1.76412460683496	0.505382537841797	12.2773286327108	1013.07214605726	72.99025	0.116371817886829
EHI02840	1	1.06280338764191	11.8206925416423	1377.54219656794	80	0.469344685475032
EHI01258	3.62978427143395	0.0269408505409956	9.607899751644	673.371234438699	58.5585	0.364457716544469
EHI02773	1.0999912152753	6.24053001403809	12.5228820362252	988.487092917196	79.46925	0.281300981839498
EHI02817	4.57232884588891	1.66003215312958	10.8235025432941	1140.79499726214	72.66025	0.369677931070328
EHI02772	1.57249686611676	0.128054693341255	12.7416667938232	713	51.05525	0.148132105668386
EHI02806	4.57232884588891	1.66003215312958	10.8235025432941	1140.79499726214	72.66025	0.369677931070328
EHI02831	4.2003133828254	17.4591445922852	10.4279871508039	899.003725055219	70.0035	0.19277235865593
EHI01266	2.050749726899	0.0225055608898401	16.0760796545858	484.320188055512	13.97485	NA
EHI01339	3.62978427143395	0.0269408505409956	9.607899751644	673.371234438699	58.5585	0.364457716544469
EHI02801	1.0999912152753	6.24053001403809	12.5228820362252	988.487092917196	79.46925	0.281300981839498
EHI02812	1.5532236972282	0.424142688512802	12.2291659876304	1025.00014822702	75.589	0.119561776518822
EHI02836	6.85661524162473	3.23171663284302	11.8560254244263	626.732310500122	41.07215	0.109422114988168
EHI02082	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02841	3.99406328629865	1.56636345386505	13.7	675.3	20.237	0.147071500619253
EHI02770	1.45359078436575	1.32068741321564	12.8658004762218	839.415838793884	55.899	0.197963053981463
EHI02792	1.83790726345148	2.26279306411743	11.2278747889429	1113.83420306265	79.01825	0.386074632406235
EHI01341	2.050749726899	0.0225055608898401	16.0760796545858	484.320188055512	13.97485	NA
EHI02098	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02776	1.5532236972282	0.424142688512802	12.2291659876304	1025.00014822702	75.589	0.119561776518822
EHI02769	1.60827674233348	0.243050098419189	12.6516557823386	715.873530010924	74.98125	0.182188188036283
EHI01389	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02767	4.57232884588891	1.66003215312958	10.8235025432941	1140.79499726214	72.66025	0.369677931070328
EHI02819	2.02958750344767	3.10289692878723	12.8204867196524	1160.21621089033	77.72	0.345227360725403
EHI02064	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02811	1	0.8628089427948	11.3562498092651	1423	80	0.226075142621994
EHI01268	1.03033278642612	0.0128326183184981	8.27916622161865	796	52.62925	0.248944163322449
EHI02804	1.53215924504174	0	9.32544018822999	1567.93353300696	75.81175	0.210193639000257
EHI02780	1	1.06280338764191	11.8206925416423	1377.54219656794	80	0.469344685475032
EHI02789	1	1.06280338764191	11.8206925416423	1377.54219656794	80	0.469344685475032
EHI02835	2.02958750344767	3.10289692878723	12.8204867196524	1160.21621089033	77.72	0.345227360725403
EHI01343	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02785	2.45072276062059	6.09151744842529	9.9166669845581	1035	77.55225	0.157068227728208
EHI01271	2.08930255362623	0.000838228326756507	17.4066286340971	254.554267496023	22.45905	NA
EHI02843	3.99406328629865	1.56636345386505	13.7	675.3	20.237	0.147071500619253
EHI02779	4.2003133828254	17.4591445922852	10.4279871508039	899.003725055219	70.0035	0.19277235865593
EHI02822	1	0.8628089427948	11.3562498092651	1423	80	0.226075142621994
EHI02797	1.53215924504174	0	9.32544018822999	1567.93353300696	75.81175	0.210193639000257
EHI02074	3.86707149844299	0.342087954282761	15.3612911800312	612.100440653441	24.8554	NA
EHI02830	1.00719981247859	1.75630557537079	11.8156364552175	1379.50911552326	79.424	0.354327748219172
