id,site,diversity,pop_density,temperature,precipitation,density
EHI02776,1,2,0.441310376,12.22916623,1025.00008,79.648
EHI02812,1,2,0.441310376,12.22916623,1025.00008,79.648
EHI02760,2,2,0,9.340089023,1564.42737,78.35825
EHI02804,2,2,0,9.340089023,1564.42737,78.35825
EHI02797,2,2,0,9.340089023,1564.42737,78.35825
EHI02771,2,2,0,9.340089023,1564.42737,78.35825
EHI02846,3,19,0.104520842,11.84583378,599,30.52835
EHI02832,3,19,0.104520842,11.84583378,599,30.52835
EHI02845,3,19,0.104520842,11.84583378,599,30.52835
EHI02836,3,24,3.27979207,11.85442175,626.9632404,31.8402
EHI02839,4,1,0.092044115,12.19850363,1041.338565,80
EHI02823,4,2,0.52218771,12.28263006,1011.68413,74.55775
EHI02769,5,2,0.204998881,12.64999962,716,75.21775
EHI02768,5,2,0.204998881,12.64999962,716,75.21775
EHI02770,6,1,1.278577328,12.86658328,839.0400893,52.5
EHI02784,6,1,1.278577328,12.86658328,839.0400893,52.5
EHI02822,7,1,0.76023221,11.35624982,1422.999998,80
EHI02831,7,9,17.95935249,10.4426179,895.721347,41.7248
EHI02779,7,9,17.95935249,10.4426179,895.721347,41.7248
EHI02766,7,9,17.95935249,10.4426179,895.721347,41.7248
EHI02792,7,7,2.257934093,11.2381529,1113.10189,62.78505
EHI02817,8,16,1.762109041,10.82083319,1141.000001,43.64725
EHI02767,8,16,1.762109041,10.82083319,1141.000001,43.64725
EHI02801,9,2,5.453059673,12.49856968,990.7457904,79.704
EHI02840,9,1,1.086799622,11.82083323,1377.499996,80
EHI02780,9,1,1.086799622,11.82083323,1377.499996,80
EHI02789,9,1,1.086799622,11.82083323,1377.499996,80
EHI02829,9,1,1.666489124,11.84583334,1369.499993,80
EHI02830,9,5,1.756305575,11.80181762,1382.594249,75.81575
EHI02841,10,27,1.566363335,13.7,675.3,19.6545
EHI02843,10,27,1.566363335,13.7,675.3,19.6545
EHI02844,10,27,1.566363335,13.7,675.3,19.6545
EHI02819,11,10,3.148766279,12.82083321,1160,47.70305
EHI02835,11,10,3.148766279,12.82083321,1160,47.70305
EHI02838,11,10,3.148766279,12.82083321,1160,47.70305
EHI02811,12,1,0.76023221,11.35624982,1422.999998,80
EHI02774,12,1,0.76023221,11.35624982,1422.999998,80
EHI02775,12,1,0.76023221,11.35624982,1422.999998,80
EHI02806,12,16,1.762109041,10.82083319,1141.000001,43.64725
EHI02826,13,8,0.128587946,12.74166679,713,51.50405
EHI02824,13,8,0.128587946,12.74166679,713,51.50405
EHI02772,13,8,0.128587946,12.74166679,713,51.50405
EHI02785,14,12,6.091517448,9.916666985,1035,37.74145
EHI02796,15,2,5.453059673,12.49856968,990.7457904,79.704
EHI02773,15,2,5.453059673,12.49856968,990.7457904,79.704
EHI02837,15,2,5.453059673,12.49856968,990.7457904,79.704
EHI01266,16,10,0.022505561,16.07916641,484,12.2122
EHI01341,16,10,0.022505561,16.07916641,484,12.2122
EHI01342,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01340,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01271,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01387,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01257,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01273,17,2,0.000850403,17.39583402,254.999988,24.377
EHI01256,17,2,0.000850403,17.39583402,254.999988,24.377
EHI02082,18,12,0.342087954,15.36250019,612,33.56995
EHI02098,18,12,0.342087954,15.36250019,612,33.56995
EHI01389,18,12,0.342087954,15.36250019,612,33.56995
EHI02064,18,12,0.342087954,15.36250019,612,33.56995
EHI01343,18,12,0.342087954,15.36250019,612,33.56995
EHI02074,18,12,0.342087954,15.36250019,612,33.56995
EHI01270,18,12,0.342087954,15.36250019,612,33.56995
EHI01264,18,12,0.342087954,15.36250019,612,33.56995
EHI01345,18,12,0.342087954,15.36250019,612,33.56995
EHI01253,19,13,0.026940851,9.622284558,671.3765413,39.53275
EHI01258,19,13,0.026940851,9.622284558,671.3765413,39.53275
EHI01339,19,13,0.026940851,9.622284558,671.3765413,39.53275
EHI01259,19,13,0.026940851,9.622284558,671.3765413,39.53275
EHI01272,20,1,0.012832618,8.279166222,796,52.5
EHI01254,20,1,0.012832618,8.279166222,796,52.5
EHI01268,20,1,0.012832618,8.279166222,796,52.5
EHI01248,20,1,0.012832618,8.279166222,796,52.5
EHI01265,20,1,0.012832618,8.279166222,796,52.5
