"id","site"
"EHI01272",20
"EHI02760",2
"EHI01342",17
"EHI02846",3
"EHI01253",19
"EHI02796",15
"EHI01254",20
"EHI02826",13
"EHI02824",13
"EHI02823",4
"EHI02840",9
"EHI01258",19
"EHI02773",15
"EHI02817",8
"EHI02772",13
"EHI02806",12
"EHI02831",7
"EHI01266",16
"EHI01339",19
"EHI02801",9
"EHI02812",1
"EHI02836",3
"EHI02082",18
"EHI02841",10
"EHI02770",6
"EHI02792",7
"EHI01341",16
"EHI02098",18
"EHI02776",1
"EHI02769",5
"EHI01389",18
"EHI02767",8
"EHI02819",11
"EHI02064",18
"EHI02811",12
"EHI01268",20
"EHI02804",2
"EHI02780",9
"EHI02789",9
"EHI02835",11
"EHI01343",18
"EHI02785",14
"EHI01271",17
"EHI02843",10
"EHI02779",7
"EHI02822",7
"EHI02797",2
"EHI02074",18
"EHI02830",9
"EHI02784",6
"EHI02766",7
"EHI02771",2
"EHI02768",5
"EHI01270",18
"EHI02832",3
"EHI02844",10
"EHI02829",9
"EHI01264",18
"EHI02837",15
"EHI02774",12
"EHI02845",3
"EHI02775",12
"EHI01259",19
"EHI01387",17
"EHI01248",20
"EHI01257",17
"EHI02839",4
"EHI01273",17
"EHI02838",11
"EHI01265",20
"EHI01345",18
"EHI01256",17
