"land_cover_class","fraction","percent","id","land_cover_description","group"
28,74.6761306545231,100,"EHI01272","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
27,70.1946820309386,94,"EHI02760","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,4.48144845303614,6,"EHI02760","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
34,60.7224491778725,81.31,"EHI01342","Natural Terrestrial Vegetated: Herbaceous Open (15 to 40 %)","Natural Vegetation - Herbaceous"
35,13.9536813842133,18.69,"EHI01342","Natural Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %)","Natural Vegetation - Herbaceous"
10,2.05048739910126,2.81358706773071,"EHI02846","Cultivated Terrestrial Vegetated: Woody Open (40 to 65 %)","Cultivated Vegetation - Woody"
11,8.04450422525406,11.0190300798036,"EHI02846","Cultivated Terrestrial Vegetated: Woody Open (15 to 40 %)","Cultivated Vegetation - Woody"
12,6.8793000831356,9.42295887047268,"EHI02846","Cultivated Terrestrial Vegetated: Woody Sparse (4 to 15 %)","Cultivated Vegetation - Woody"
13,3,4.11295273173726,"EHI02846","Cultivated Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Cultivated Vegetation - Woody"
14,2.04049907997251,2.79312461632904,"EHI02846","Cultivated Terrestrial Vegetated: Herbaceous Closed (greater than 65 %)","Cultivated Vegetation - Herbaceous"
15,14.4827604117745,19.8383466339267,"EHI02846","Cultivated Terrestrial Vegetated: Herbaceous Open (40 to 65 %)","Cultivated Vegetation - Herbaceous"
16,3.28105079010129,4.4915080826683,"EHI02846","Cultivated Terrestrial Vegetated: Herbaceous Open (15 to 40 %)","Cultivated Vegetation - Herbaceous"
17,5.55805389583111,7.61203192142419,"EHI02846","Cultivated Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %)","Cultivated Vegetation - Herbaceous"
18,2,2.74196848782484,"EHI02846","Cultivated Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Cultivated Vegetation - Herbaceous"
20,1.61670815944672,2.20994475138122,"EHI02846","Natural Terrestrial Vegetated: Woody","Natural Vegetation - Woody"
21,2,2.74196848782484,"EHI02846","Natural Terrestrial Vegetated: Herbaceous","Natural Vegetation - Herbaceous"
22,5.63743543624878,7.72457540413342,"EHI02846","Natural Terrestrial Vegetated: Closed (greater than 65 %)","Other"
23,1.51144921779633,2.06670759156947,"EHI02846","Natural Terrestrial Vegetated: Open (40 to 65 %)","Other"
24,1.03564367070794,1.42214037241662,"EHI02846","Natural Terrestrial Vegetated: Open (15 to 40 %)","Other"
25,2.5901882648468,3.55023531819112,"EHI02846","Natural Terrestrial Vegetated: Sparse (4 to 15 %)","Natural Vegetation - Sparse"
26,0.338023841381073,0.460405156537753,"EHI02846","Natural Terrestrial Vegetated: Scattered (1 to 4 %)","Other"
27,3.9153329282999,5.36116226723962,"EHI02846","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,4.01642578316387,5.50439942705136,"EHI02846","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
30,1,1.37098424391242,"EHI02846","Natural Terrestrial Vegetated: Woody Sparse (4 to 15 %)","Natural Vegetation - Woody"
31,1,1.37098424391242,"EHI02846","Natural Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Natural Vegetation - Woody"
32,1,1.37098424391242,"EHI02846","Natural Terrestrial Vegetated: Herbaceous Closed (greater than 65 %)","Natural Vegetation - Herbaceous"
15,1.50528441369534,2.06946009630161,"EHI01253","Cultivated Terrestrial Vegetated: Herbaceous Open (40 to 65 %)","Cultivated Vegetation - Herbaceous"
16,3.61955237388611,4.96875320151624,"EHI01253","Cultivated Terrestrial Vegetated: Herbaceous Open (15 to 40 %)","Cultivated Vegetation - Herbaceous"
18,4.57807487249374,6.28009425263805,"EHI01253","Cultivated Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Cultivated Vegetation - Herbaceous"
20,0.00608230847865343,0.0102448519618892,"EHI01253","Natural Terrestrial Vegetated: Woody","Natural Vegetation - Woody"
21,2,2.74562032578629,"EHI01253","Natural Terrestrial Vegetated: Herbaceous","Natural Vegetation - Herbaceous"
22,4.73718053102493,6.49523614383772,"EHI01253","Natural Terrestrial Vegetated: Closed (greater than 65 %)","Other"
23,1.96863611415029,2.70464091793874,"EHI01253","Natural Terrestrial Vegetated: Open (40 to 65 %)","Other"
24,0.232481598854065,0.317590410818564,"EHI01253","Natural Terrestrial Vegetated: Open (15 to 40 %)","Other"
25,7,9.59942628829013,"EHI01253","Natural Terrestrial Vegetated: Sparse (4 to 15 %)","Natural Vegetation - Sparse"
26,4.31606709957123,5.92152443397193,"EHI01253","Natural Terrestrial Vegetated: Scattered (1 to 4 %)","Other"
27,9.06788019090891,12.4372502817334,"EHI01253","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,30.8547425977886,42.331728306526,"EHI01253","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
29,3,4.11843048867944,"EHI01253","Natural Terrestrial Vegetated: Woody Open (15 to 40 %)","Natural Vegetation - Woody"
26,0.00013429815589916,0,"EHI02796","Natural Terrestrial Vegetated: Scattered (1 to 4 %)","Other"
27,74.6759962979704,100,"EHI02796","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,74.6761306545231,100,"EHI01254","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
27,0.0525772720575333,0.07,"EHI02826","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,72.4728785730549,97.05,"EHI02826","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
31,0.0280617419630289,0.04,"EHI02826","Natural Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Natural Vegetation - Woody"
36,0.366907179355621,0.49,"EHI02826","Natural Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Natural Vegetation - Herbaceous"
42,0.6048544049263,0.81,"EHI02826","Cultivated Aquatic Vegetated: Open (15 to 40 %)","Other"
51,0.628865778446198,0.84,"EHI02826","Cultivated Aquatic Vegetated: Herbaceous Open (40 to 65 %)","Cultivated Vegetation - Herbaceous"
58,0.442298471927643,0.59,"EHI02826","Natural Aquatic Vegetated: Closed (greater than 65 %)","Other"
60,0.0796871110796928,0.11,"EHI02826","Natural Aquatic Vegetated: Open (15 to 40 %)","Other"
27,0.0525772720575333,0.07,"EHI02824","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
28,72.4728785730549,97.05,"EHI02824","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Vegetation - Woody"
31,0.0280617419630289,0.04,"EHI02824","Natural Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Natural Vegetation - Woody"
36,0.366907179355621,0.49,"EHI02824","Natural Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Natural Vegetation - Herbaceous"
42,0.6048544049263,0.81,"EHI02824","Cultivated Aquatic Vegetated: Open (15 to 40 %)","Other"
51,0.628865778446198,0.84,"EHI02824","Cultivated Aquatic Vegetated: Herbaceous Open (40 to 65 %)","Cultivated Vegetation - Herbaceous"
58,0.442298471927643,0.59,"EHI02824","Natural Aquatic Vegetated: Closed (greater than 65 %)","Other"
60,0.0796871110796928,0.11,"EHI02824","Natural Aquatic Vegetated: Open (15 to 40 %)","Other"
27,58.9010242028162,78.88,"EHI02823","Natural Terrestrial Vegetated: Woody Closed (greater than 65 %)","Natural Vegetation - Woody"
