"land_cover_class","fraction","percent","id"
28,74.2137144846879,100,"EHI01272"
27,69.453009170451,93.59,"EHI02760"
28,4.76070544309914,6.41,"EHI02760"
33,0.0250066090375185,0.03,"EHI01342"
34,59.0000064072665,79.5,"EHI01342"
35,15.1887014964595,20.47,"EHI01342"
10,0.396736115217209,0.53,"EHI02846"
11,5.14302606880665,6.93,"EHI02846"
12,5.80989436805248,7.83,"EHI02846"
13,6,8.08,"EHI02846"
14,2.46618103981018,3.32,"EHI02846"
15,9.98363411426544,13.45,"EHI02846"
16,6.09440869092941,8.21,"EHI02846"
17,6,8.08,"EHI02846"
18,3.87722933292389,5.22,"EHI02846"
19,2,2.69,"EHI02846"
20,4.10161612182856,5.53,"EHI02846"
21,3.53418552875519,4.76,"EHI02846"
22,4,5.39,"EHI02846"
23,1.66459006071091,2.24,"EHI02846"
24,2.14423167705536,2.89,"EHI02846"
25,2.81566406041384,3.79,"EHI02846"
26,4.13387095928192,5.57,"EHI02846"
27,1.28100129961967,1.73,"EHI02846"
28,1.76744508743286,2.38,"EHI02846"
29,1,1.35,"EHI02846"
15,0.118676122277975,0.16,"EHI01253"
16,2.691884143278,3.63,"EHI01253"
17,2,2.69,"EHI01253"
18,2.11827906966209,2.85,"EHI01253"
19,1.95328003168106,2.63,"EHI01253"
20,3.22291937470436,4.34,"EHI01253"
21,1.70505521446466,2.3,"EHI01253"
22,2.88302350230515,3.88,"EHI01253"
23,4.97909751534462,6.71,"EHI01253"
24,2.27709010243416,3.07,"EHI01253"
25,4.36235142499208,5.88,"EHI01253"
26,5.33275733888149,7.19,"EHI01253"
27,9.62598468735814,12.97,"EHI01253"
28,29.9433160421322,40.35,"EHI01253"
29,1,1.35,"EHI01253"
27,74.2137145907363,100,"EHI02796"
28,74.2137144846879,100,"EHI01254"
27,0.292925972491503,0.39,"EHI02826"
28,72.6823737765662,97.94,"EHI02826"
29,0.188792318105698,0.25,"EHI02826"
46,0.0912902280688286,0.12,"EHI02826"
55,0.337293565273285,0.45,"EHI02826"
63,0.387273699045181,0.52,"EHI02826"
69,0.227202549576759,0.31,"EHI02826"
71,0.00656243646517396,0.01,"EHI02826"
27,0.292925972491503,0.39,"EHI02824"
28,72.6823737765662,97.94,"EHI02824"
29,0.188792318105698,0.25,"EHI02824"
46,0.0912902280688286,0.12,"EHI02824"
55,0.337293565273285,0.45,"EHI02824"
63,0.387273699045181,0.52,"EHI02824"
69,0.227202549576759,0.31,"EHI02824"
71,0.00656243646517396,0.01,"EHI02824"
27,58.5785707165487,78.93,"EHI02823"
28,15.6351438893471,21.07,"EHI02823"
27,74.2137145957531,100,"EHI02840"
15,0.118676122277975,0.16,"EHI01258"
16,2.691884143278,3.63,"EHI01258"
17,2,2.69,"EHI01258"
18,2.11827906966209,2.85,"EHI01258"
19,1.95328003168106,2.63,"EHI01258"
20,3.22291937470436,4.34,"EHI01258"
21,1.70505521446466,2.3,"EHI01258"
22,2.88302350230515,3.88,"EHI01258"
23,4.97909751534462,6.71,"EHI01258"
24,2.27709010243416,3.07,"EHI01258"
25,4.36235142499208,5.88,"EHI01258"
26,5.33275733888149,7.19,"EHI01258"
27,9.62598468735814,12.97,"EHI01258"
28,29.9433160421322,40.35,"EHI01258"
29,1,1.35,"EHI01258"
27,74.2137145907363,100,"EHI02773"
12,0.0155858881771564,0.02,"EHI02817"
13,1.51503978802066,2.04,"EHI02817"
14,5.6205934882164,7.57,"EHI02817"
15,8.21470662206411,11.07,"EHI02817"
16,8.22006303817034,11.08,"EHI02817"
17,4.38056778162718,5.9,"EHI02817"
18,2,2.69,"EHI02817"
20,3,4.04,"EHI02817"
21,2.08930727373809,2.82,"EHI02817"
23,3.23864024877548,4.36,"EHI02817"
24,2.89088886976242,3.9,"EHI02817"
25,3.13957586884499,4.23,"EHI02817"
26,3.34802234172821,4.51,"EHI02817"
27,24.5407233161386,33.07,"EHI02817"
28,2,2.69,"EHI02817"
27,0.292925972491503,0.39,"EHI02772"
28,72.6823737765662,97.94,"EHI02772"
29,0.188792318105698,0.25,"EHI02772"
46,0.0912902280688286,0.12,"EHI02772"
55,0.337293565273285,0.45,"EHI02772"
63,0.387273699045181,0.52,"EHI02772"
69,0.227202549576759,0.31,"EHI02772"
71,0.00656243646517396,0.01,"EHI02772"
12,0.0155858881771564,0.02,"EHI02806"
13,1.51503978802066,2.04,"EHI02806"
14,5.6205934882164,7.57,"EHI02806"
15,8.21470662206411,11.07,"EHI02806"
16,8.22006303817034,11.08,"EHI02806"
17,4.38056778162718,5.9,"EHI02806"
18,2,2.69,"EHI02806"
20,3,4.04,"EHI02806"
21,2.08930727373809,2.82,"EHI02806"
23,3.23864024877548,4.36,"EHI02806"
24,2.89088886976242,3.9,"EHI02806"
25,3.13957586884499,4.23,"EHI02806"
26,3.34802234172821,4.51,"EHI02806"
27,24.5407233161386,33.07,"EHI02806"
28,2,2.69,"EHI02806"
