"id","Natural Terrestrial Vegetated: Woody Open (40 to 65 %)","Natural Terrestrial Vegetated: Woody Closed (> 65 %)","Natural Terrestrial Vegetated: Herbaceous Open (40 to 65 %)","Natural Terrestrial Vegetated: Herbaceous Open (15 to 40 %)","Natural Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %)","Cultivated Terrestrial Vegetated: Woody Open (40 to 65 %)","Cultivated Terrestrial Vegetated: Woody Open (15 to 40 %)","Cultivated Terrestrial Vegetated: Woody Sparse (4 to 15 %)","Cultivated Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Cultivated Terrestrial Vegetated: Herbaceous Closed (> 65 %)","Cultivated Terrestrial Vegetated: Herbaceous Open (40 to 65 %)","Cultivated Terrestrial Vegetated: Herbaceous Open (15 to 40 %)","Cultivated Terrestrial Vegetated: Herbaceous Sparse (4 to 15 %)","Cultivated Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Natural Terrestrial Vegetated","Natural Terrestrial Vegetated: Woody","Natural Terrestrial Vegetated: Herbaceous","Natural Terrestrial Vegetated: Closed (> 65 %)","Natural Terrestrial Vegetated: Open (40 to 65 %)","Natural Terrestrial Vegetated: Open (15 to 40 %)","Natural Terrestrial Vegetated: Sparse (4 to 15 %)","Natural Terrestrial Vegetated: Scattered (1 to 4 %)","Natural Terrestrial Vegetated: Woody Open (15 to 40 %)","Natural Aquatic Vegetated","Natural Aquatic Vegetated: Woody Closed (> 65 %)","Natural Aquatic Vegetated: Woody Open (15 to 40 %)","Natural Aquatic Vegetated: Woody Open (15 to 40 %) Water < 3 months (temporary or seasonal)","Natural Terrestrial Vegetated: Woody Sparse (4 to 15 %)","Natural Terrestrial Vegetated: Woody Scattered (1 to 4 %)","Natural Terrestrial Vegetated: Herbaceous Closed (> 65 %)","Natural Terrestrial Vegetated: Herbaceous Scattered (1 to 4 %)","Natural Aquatic Vegetated: Herbaceous","Natural Aquatic Vegetated: Scattered (1 to 4 %)","Natural Aquatic Vegetated: Woody Closed (> 65 %) Water > 3 months (semi-) permanent","Natural Aquatic Vegetated: Woody Open (40 to 65 %) Water > 3 months (semi-) permanent","Natural Aquatic Vegetated: Woody Sparse (4 to 15 %)","Natural Aquatic Vegetated: Herbaceous Closed (> 65 %) Water < 3 months (temporary or seasonal)","Natural Aquatic Vegetated: Herbaceous Open (40 to 65 %)","Natural Aquatic Vegetated: Herbaceous Open (15 to 40 %) Water < 3 months (temporary or seasonal)","Natural Aquatic Vegetated: Herbaceous Scattered (1 to 4 %) Water < 3 months (temporary or seasonal)","Natural Surface","Natural Surface: Very sparsely vegetated","Natural Surface: Bare areas unvegetated","Water","Water: (Water)","Water: (Water) Tidal area","Water: (Water) Perennial (> 9 months)","Cultivated_Total","Native_Terrestrial_Total","Native_Aquatic_Total","Bare_Urban","EnvGradient_PC1"
"EHI01272",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI02760",6.41,93.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI01342",0,0,0.03,79.5,20.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI02846",2.38,1.73,0,0,0,0.53,6.93,7.83,8.08,3.32,13.45,8.21,8.08,5.22,2.69,5.53,4.76,5.39,2.24,2.89,3.79,5.57,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.65,38.32,0,0,0.652087969357497
"EHI01253",40.35,12.97,0,0,0,0,0,0,0,0,0.16,3.63,2.69,2.85,2.63,4.34,2.3,3.88,6.71,3.07,5.88,7.19,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,90.67,0,0,-0.371239636154202
"EHI02796",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI01254",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI02826",97.94,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.45,0.52,0.31,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.58,1.29,0,-0.315294604343225
"EHI02824",97.94,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.45,0.52,0.31,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.58,1.29,0,-0.315294604343225
"EHI02823",21.07,78.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
"EHI02840",0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-0.553638566583069
